customer_id,account_created
C0001,2024-10-10 01:13:20
C0002,2024-04-02 01:13:20
C0003,2024-04-14 01:13:20
C0004,2023-08-11 01:13:20
C0005,2025-01-27 01:13:20
C0006,2026-03-22 01:13:20
C0007,2025-09-04 01:13:20
C0008,2023-09-18 01:13:20
C0009,2025-12-27 01:13:20
C0010,2024-01-24 01:13:20
C0011,2023-08-25 01:13:20
C0012,2025-09-09 01:13:20
C0013,2024-01-10 01:13:20
C0014,2025-06-06 01:13:20
C0015,2025-07-26 01:13:20
C0016,2023-11-08 01:13:20
C0017,2024-07-14 01:13:20
C0018,2025-07-18 01:13:20
C0019,2023-12-26 01:13:20
C0020,2025-11-19 01:13:20
C0021,2023-12-03 01:13:20
C0022,2026-03-13 01:13:20
C0023,2024-03-22 01:13:20
C0024,2023-09-05 01:13:20
C0025,2026-02-24 01:13:20
C0026,2026-04-04 01:13:20
C0027,2025-09-12 01:13:20
C0028,2026-02-04 01:13:20
C0029,2024-10-29 01:13:20
C0030,2023-08-08 01:13:20
C0031,2025-01-27 01:13:20
C0032,2025-04-30 01:13:20
C0033,2024-06-20 01:13:20
C0034,2023-12-26 01:13:20
C0035,2025-06-25 01:13:20
C0036,2024-04-22 01:13:20
C0037,2025-03-26 01:13:20
C0038,2026-01-31 01:13:20
C0039,2024-01-24 01:13:20
C0040,2025-03-19 01:13:20
C0041,2025-02-07 01:13:20
C0042,2026-01-30 01:13:20
C0043,2024-10-19 01:13:20
C0044,2025-02-19 01:13:20
C0045,2026-04-03 01:13:20
C0046,2025-11-03 01:13:20
C0047,2024-01-14 01:13:20
C0048,2025-08-13 01:13:20
C0049,2024-10-09 01:13:20
C0050,2025-11-01 01:13:20
C0051,2025-03-20 01:13:20
C0052,2025-12-10 01:13:20
C0053,2025-09-05 01:13:20
C0054,2024-05-26 01:13:20
C0055,2024-02-25 01:13:20
C0056,2023-12-21 01:13:20
C0057,2024-03-23 01:13:20
C0058,2023-10-09 01:13:20
C0059,2023-11-16 01:13:20
C0060,2023-09-03 01:13:20
C0061,2025-05-11 01:13:20
C0062,2024-01-05 01:13:20
C0063,2023-09-25 01:13:20
C0064,2023-11-14 01:13:20
C0065,2026-02-10 01:13:20
C0066,2023-10-27 01:13:20
C0067,2024-01-04 01:13:20
C0068,2023-08-31 01:13:20
C0069,2024-07-27 01:13:20
C0070,2025-12-10 01:13:20
C0071,2026-02-20 01:13:20
C0072,2025-12-12 01:13:20
C0073,2024-06-17 01:13:20
C0074,2025-07-22 01:13:20
C0075,2023-11-18 01:13:20
C0076,2025-12-26 01:13:20
C0077,2025-10-05 01:13:20
C0078,2026-02-14 01:13:20
C0079,2024-11-29 01:13:20
C0080,2023-10-12 01:13:20
C0081,2024-04-06 01:13:20
C0082,2024-02-22 01:13:20
C0083,2024-03-14 01:13:20
C0084,2025-12-11 01:13:20
C0085,2025-05-25 01:13:20
C0086,2024-09-22 01:13:20
C0087,2025-10-28 01:13:20
C0088,2024-08-01 01:13:20
C0089,2026-04-14 01:13:20
C0090,2025-10-21 01:13:20
C0091,2025-04-01 01:13:20
C0092,2023-11-10 01:13:20
C0093,2024-01-01 01:13:20
C0094,2025-11-10 01:13:20
C0095,2024-07-19 01:13:20
C0096,2024-01-16 01:13:20
C0097,2023-12-22 01:13:20
C0098,2023-11-05 01:13:20
C0099,2024-11-14 01:13:20
C0100,2024-04-11 01:13:20
